# bench_date,"2026-07-02_14-47-16"
# problem_dir,"casc/FOF"
# home,
# logs_dir,"bench/logs/casc_requested"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,75000
# mode,"ordered-fallback"
# portfolio,"casc-150"
# casc,
# only_ip,true
# version_vip,"a76d405"

section,problem,expected_status,rating,vip,vip_time_s,vip_profile,vip_axiom_selection,vip_raw_clauses,vip_equality_literals,vip_equality_ratio,vip_avg_term,vip_unit_ratio,vip_negative_ratio
result,"FEQ/LCL898+1.p","Unknown","","Timeout",3.007088,"equality-heavy","false","16","8","0.320000","5.240000","0.562500","0.400000"
result,"FEQ/LCL901+1.p","Unknown","","Theorem",0.004275,"equality-heavy","false","16","8","0.320000","5.080000","0.562500","0.400000"
result,"FEQ/MGT039+2.p","Unknown","","Timeout",2.958060,"equality-light","false","28","5","0.054945","3.340659","0.178571","0.670330"
result,"FEQ/MGT054+1.p","Unknown","","Timeout",2.957955,"equality-light","false","30","9","0.118421","3.394737","0.233333","0.513158"
result,"FEQ/MGT061+1.p","Unknown","","Timeout",2.957380,"equality-light","false","43","15","0.138889","3.351852","0.279070","0.462963"
result,"FEQ/MSC010+1.p","Unknown","","Timeout",3.028628,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/NUM293+1.p","Unknown","","Timeout",2.962138,"equality-light","false","407","7","0.014493","7.579710","0.921376","0.157350"
result,"FEQ/NUM314+1.p","Unknown","","Timeout",2.962068,"equality-light","false","407","7","0.014493","7.581781","0.921376","0.157350"
result,"FEQ/NUM317+1.p","Unknown","","Timeout",2.961663,"equality-light","false","407","7","0.014493","7.581781","0.921376","0.157350"
result,"FEQ/NUM325+1.p","Unknown","","Timeout",2.960340,"equality-light","false","407","7","0.014493","7.581781","0.921376","0.157350"
result,"FEQ/NUM337+1.p","Unknown","","Timeout",2.961186,"equality-light","false","408","8","0.016529","7.572314","0.921569","0.157025"
result,"FEQ/NUM479+2.p","Unknown","","Theorem",0.231001,"equality-light","false","68","75","0.288462","3.200000","0.220588","0.673077"
result,"FEQ/NUM481+1.p","Unknown","","Theorem",0.154305,"equality-light","false","71","94","0.306189","3.045603","0.084507","0.664495"
result,"FEQ/NUM587+1.p","Unknown","","Theorem",2.078434,"equality-heavy","false","177","150","0.214592","3.628040","0.163842","0.678112"
result,"FEQ/NUM656+4.p","Unknown","","Timeout",3.289881,"equality-light","false","681","129","0.094161","7.256204","0.242291","0.446715"
result,"FEQ/NUM658+4.p","Unknown","","Timeout",3.304344,"equality-light","false","693","129","0.092539","7.233142","0.240981","0.446198"
result,"FEQ/NUM659+4.p","Unknown","","Timeout",3.296917,"equality-light","false","699","129","0.091750","7.221906","0.240343","0.445946"
result,"FEQ/NUM671+4.p","Unknown","","Timeout",3.294382,"equality-light","false","785","129","0.081646","7.129114","0.229299","0.443671"
result,"FEQ/NUM672+4.p","Unknown","","Timeout",3.317813,"equality-light","false","793","129","0.080827","7.127820","0.228247","0.443609"
result,"FEQ/NUM695+4.p","Unknown","","Timeout",3.309177,"equality-light","false","1036","129","0.061693","7.158776","0.201737","0.441416"
result,"FEQ/NUM701+4.p","Unknown","","Timeout",3.301543,"equality-light","false","1075","129","0.059502","7.122694","0.200930","0.440498"
result,"FEQ/NUM703+4.p","Unknown","","Timeout",3.332268,"equality-light","false","1087","129","0.058850","7.112226","0.200552","0.440237"
result,"FEQ/NUM708+4.p","Unknown","","Theorem",1.185030,"equality-light","false","1142","135","0.059003","7.138986","0.203152","0.439685"
